# Master Index Workbench v2.0.0 (released 2026-07-12) — https://kr48vr.github.io/master-of-all-indices/
# Data license: CC BY-NC-SA 4.0 (compilation); individual values inherit source terms recorded in provenance
# A blank value is honest missing data (see the note column), never a zero.
city,measure_id,measure,area,subtheme,unit,direction,data_level,approx,value,year,source,note
Singapore,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.07,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Tokyo,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.23,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Copenhagen,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.84,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Zurich,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.6,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Vienna,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.88,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Seoul,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.48,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Melbourne,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.85,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Amsterdam,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.69,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
London,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.15,2021,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
New York,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Paris,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.34,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Toronto,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.98,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Berlin,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.91,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Barcelona,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.69,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Dubai,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.69,2022,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
San Francisco,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,5.76,2023,"UNODC Data Portal — Crime Trend Survey, intentional homicide victims, rate per 100,000 (Total/Total/Total)",
Stockholm,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,1.15,2023,Sweden (SWE) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: NCCP/CTS"
Oslo,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.72,2023,Norway (NOR) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/GSH 2019 Revision/SDG/Eurostat/CTS/NP"
Helsinki,LIV-01,Homicide rate,Liveable,Safety & Stability,per 100k,lower,Country proxy,proxy,0.98,2023,Finland (FIN) — country proxy,"UNODC ('data_cts_intentional_homicide' sheet), victims, Total/Total/Total, rate per 100,000; source field: UNSDC/CTS/SDG"
